cpg,Trophoblasts,Stromal,Hofbauer,Endothelial,nRBC,Syncytiotrophoblast
cg25176746,0.819824873,0.273104744,0.139895231,0.418137256,0.040592658,0.71395924
cg11692124,0.876549042,0.247259457,0.273512772,0.33915932,0.173628104,0.860831546
cg07695771,0.775762471,0.275023329,0.10976042,0.344155438,0.040570577,0.628834331
cg10977770,0.782412188,0.231575299,0.144294328,0.265898443,0.086928401,0.748005861
cg06123753,0.723421886,0.234865613,0.07062497,0.322857776,0.091814078,0.294823725
cg19618622,0.680602985,0.219882999,0.054320369,0.108933073,0.095042067,0.452636988
cg12636169,0.759548333,0.276985908,0.110692397,0.329128707,0.036666689,0.662674057
cg02564291,0.706228833,0.140528049,0.093023039,0.271515232,0.037926441,0.650044211
cg16779839,0.710683676,0.158927925,0.097760657,0.209459671,0.082024359,0.746794229
cg00510718,0.749763638,0.344798544,0.118556331,0.423769117,0.094810174,0.317862795
cg16668359,0.670489686,0.154208526,0.080002794,0.166255077,0.024985192,0.671186562
cg22377643,0.673485457,0.209614608,0.085615145,0.313174992,0.033984127,0.344471679
cg23856413,0.706232855,0.171667985,0.125646733,0.261939834,0.048407871,0.698511709
cg23243267,0.808602357,0.335133606,0.21593113,0.471383489,0.09828251,0.650699057
cg17428559,0.701190434,0.209962862,0.111577561,0.326338642,0.04748944,0.573022332
cg00983697,0.715269633,0.172536818,0.224360468,0.278847612,0.125562403,0.570952435
cg13192155,0.821543392,0.308972603,0.358856402,0.281343503,0.256487008,0.722878809
cg21566177,0.719000093,0.392282282,0.089948119,0.401983979,0.082791917,0.343061279
cg19203333,0.692481949,0.32101559,0.12813929,0.272447253,0.053217702,0.579758729
cg10193681,0.578501397,0.074464629,0.060496631,0.099937875,0.063951527,0.452950265
cg10400081,0.643336194,0.210794282,0.066956872,0.261917995,0.043622693,0.544125057
cg04456219,0.629051203,0.259100538,0.05566963,0.375265055,0.069322303,0.09963981
cg08202754,0.624294226,0.205730851,0.136967735,0.243197822,0.067424167,0.262479366
cg27226320,0.625787738,0.243704666,0.059613691,0.365860573,0.032164677,0.228389136
cg18486235,0.641357096,0.192059735,0.103171634,0.235625596,0.046550384,0.580020449
cg03723247,0.597975704,0.088779559,0.055916888,0.170192986,0.049195048,0.608777953
cg18249580,0.559157683,0.074255682,0.023984918,0.173233306,0.025226159,0.425710317
cg25324047,0.628996225,0.259006242,0.068304692,0.321596332,0.036528973,0.32806445
cg11551464,0.711745191,0.398141039,0.311216814,0.339556986,0.069673827,0.25304958
cg18566515,0.684287075,0.144649009,0.170565241,0.262179162,0.338162356,0.278727867
cg11800620,0.646482723,0.236976268,0.071199067,0.315364818,0.052387337,0.502059975
cg00223681,0.680703931,0.225649802,0.147856259,0.396430513,0.109627484,0.409672244
cg21228424,0.669401354,0.205321609,0.727693141,0.645531056,0.685463384,0.959615687
cg06261059,0.703459862,0.276304977,0.877249243,0.826169472,0.626942375,0.853856484
cg15264020,0.875194589,0.379636417,0.819291222,0.877652205,0.708800607,0.946418198
cg21081729,0.758251783,0.271688954,0.748618662,0.645551585,0.664146778,0.857298063
cg12363903,0.898647998,0.385613187,0.683521089,0.755778197,0.8852877,0.949607125
cg18837542,0.933214857,0.470711719,0.889088569,0.858723357,0.928849164,0.922410164
cg25936876,0.753970477,0.31776409,0.852412051,0.837611553,0.546548991,0.857616575
cg16553083,0.855633703,0.497226711,0.933168554,0.945392696,0.928735088,0.967787731
cg27423627,0.776458221,0.272775604,0.699841961,0.551771786,0.639469264,0.880723892
cg15854548,0.864300011,0.425856674,0.815500786,0.803133452,0.86776439,0.87051815
cg26635451,0.725761798,0.324303492,0.738354974,0.679991759,0.724836237,0.866606403
cg09701743,0.915344658,0.428304264,0.842528235,0.769096191,0.789967538,0.918906802
cg18165707,0.923427749,0.452318035,0.894057134,0.914983102,0.670795809,0.943882192
cg06231385,0.751265231,0.40461701,0.887891635,0.653737963,0.84416507,0.899323261
cg23507796,0.909531361,0.456882059,0.899844236,0.908785929,0.691192718,0.91724059
cg14190344,0.816407061,0.472820868,0.876525128,0.796274845,0.916353294,0.907675655
cg16560824,0.922350196,0.490169487,0.933170043,0.910892455,0.729256357,0.954618378
cg12712747,0.848985133,0.505203782,0.890729937,0.896344717,0.932089312,0.857319904
cg15255390,0.884868764,0.491718578,0.893937499,0.792085482,0.89685479,0.935797291
cg23266869,0.866330008,0.495449076,0.876638417,0.835696308,0.939984594,0.844665126
cg12741572,0.86422927,0.408633067,0.745175849,0.757078489,0.750283712,0.893121004
cg25560775,0.810275871,0.423784646,0.841507623,0.742652902,0.789684997,0.880729399
cg24952240,0.811944965,0.433588864,0.81508546,0.852956809,0.736423295,0.921257002
cg12778065,0.854642795,0.494369571,0.897871744,0.88122151,0.870535374,0.872109541
cg23216101,0.916704753,0.467774463,0.900730165,0.774515009,0.755684132,0.927925609
cg18912160,0.686199048,0.313960599,0.766385931,0.696133463,0.567639742,0.775114401
cg15338159,0.779577327,0.458104462,0.811270005,0.774502954,0.934100526,0.809612661
cg04133132,0.929024328,0.537661981,0.901031888,0.887864029,0.907233752,0.916122551
cg23181482,0.770607033,0.413906521,0.820063796,0.804499789,0.685878674,0.912070706
cg05689208,0.77770032,0.474223318,0.883136281,0.800122543,0.877636571,0.879827903
cg00211625,0.894247934,0.54527644,0.904009843,0.889158887,0.938096227,0.941855627
cg14326472,0.794388326,0.463063373,0.867759771,0.758324979,0.864632941,0.860378209
cg26310429,0.954533373,0.592147678,0.935961469,0.939356162,0.979196754,0.957479671
cg10063663,0.883435593,0.515044011,0.88637841,0.809181069,0.896842879,0.9154642
cg15188398,0.937015376,0.582215441,0.945887906,0.928231865,0.93996737,0.974834276
cg01729125,0.869522729,0.468572468,0.701820641,0.878432758,0.828589264,0.891027657
cg14155831,0.872026617,0.475967161,0.845155246,0.819226205,0.789922641,0.880511454
cg16210719,0.768227149,0.440110343,0.852786664,0.687603804,0.80240431,0.952470522
cg26937943,0.832174949,0.469481439,0.848070489,0.844727908,0.81752525,0.780825658
cg10209089,0.593181994,0.339754082,0.804801383,0.650578754,0.678434269,0.816869078
cg03413253,0.801702796,0.439558882,0.816758753,0.794008604,0.748181796,0.858019395
cg04848693,0.718433524,0.443402181,0.852489725,0.713547477,0.879180789,0.827111414
cg06912227,0.906295255,0.539296988,0.889508233,0.907338566,0.87347613,0.90930752
cg24741744,0.828710155,0.414739096,0.664525763,0.777345523,0.756370874,0.873378094
cg03536961,0.814333597,0.474808056,0.898406918,0.866411024,0.715722034,0.92326301
cg10415570,0.842342526,0.501940318,0.881994073,0.807947274,0.865714251,0.904312598
cg18001443,0.882514339,0.498836082,0.847312165,0.875506945,0.800647307,0.87624162
cg20925383,0.655663323,0.439778825,0.734474856,0.733422035,0.931380956,0.946124604
cg07127957,0.768682893,0.466348834,0.844258774,0.816036462,0.828607305,0.850372527
cg09164726,0.823924519,0.4854797,0.859308143,0.820715313,0.87059344,0.786888752
cg21435684,0.134746781,0.621987365,0.097017902,0.188315295,0.031263644,0.312196167
cg18278184,0.200148174,0.618620593,0.12901793,0.298297386,0.062881433,0.096120741
cg26542660,0.276180369,0.652542303,0.160010903,0.290409451,0.092740566,0.199634509
cg05471169,0.229622526,0.615644093,0.099482221,0.32939346,0.025646363,0.305848806
cg27170268,0.3069466,0.697952354,0.279383209,0.212736309,0.441179106,0.134040695
cg02684104,0.159413815,0.568698844,0.22995268,0.234142622,0.061061685,0.308673209
cg18757155,0.357187836,0.548163433,0.086785561,0.26926257,0.15779428,0.122644708
cg18760837,0.103667966,0.458273124,0.176881106,0.194386767,0.020104274,0.171801488
cg13424302,0.250970072,0.56858841,0.136829848,0.272976798,0.219333508,0.36581336
cg06460328,0.157677428,0.521973619,0.127456124,0.218080244,0.26238735,0.185191824
cg18533201,0.060001167,0.425418842,0.117390149,0.166253227,0.014191544,0.196057814
cg19448318,0.17291062,0.488828061,0.197277814,0.259167601,0.044705012,0.188983415
cg01641792,0.051578236,0.379914158,0.09034711,0.068458594,0.021732141,0.065672458
cg02140579,0.325018683,0.721831658,0.481121493,0.391610068,0.460666695,0.268334684
cg06029700,0.108155354,0.471150452,0.139645426,0.186720112,0.183707566,0.128350746
cg10615591,0.169682195,0.402868352,0.063345433,0.108087025,0.062022798,0.035153477
cg12593223,0.139858441,0.426962904,0.086081866,0.206355958,0.021125409,0.176485695
cg00474889,0.078697276,0.430083924,0.069363527,0.283452965,0.093955046,0.069447667
cg05579652,0.056150492,0.373197082,0.069932742,0.09112789,0.072751266,0.112028029
cg27208307,0.149205053,0.391260578,0.063549416,0.196889688,0.024256235,0.041471902
cg24865623,0.060566067,0.368068782,0.112959756,0.1252199,0.040945429,0.049986293
cg25924694,0.079878981,0.397331849,0.122610054,0.161740329,0.079640202,0.111097052
cg02928476,0.06159971,0.390628687,0.089826999,0.272361028,0.030956671,0.056091277
cg23444610,0.187451101,0.500877388,0.304758546,0.215348584,0.167597996,0.209629227
cg14825976,0.048014311,0.393169799,0.150053374,0.09884186,0.149809377,0.065335961
cg03196720,0.06774256,0.399255183,0.113359532,0.135853168,0.151880744,0.077092887
cg08766256,0.108730561,0.468562608,0.24392922,0.123366758,0.293802025,0.101327784
cg16300030,0.286548218,0.53624821,0.332713458,0.271206037,0.183494371,0.235232518
cg09164580,0.092779106,0.378279299,0.128882696,0.141971476,0.03530547,0.171918027
cg17534029,0.140487553,0.338043068,0.052592049,0.098710402,0.017097483,0.030810596
cg16236263,0.285461512,0.495202602,0.338968443,0.253169264,0.117880068,0.112318967
cg10522770,0.183053517,0.493943192,0.2777536,0.313834444,0.119721794,0.292584826
cg02449461,0.289397332,0.452321585,0.12897951,0.195038606,0.148402162,0.180553813
cg10364115,0.163572909,0.421432402,0.225859882,0.141219171,0.109226061,0.160742103
cg22568403,0.102029686,0.350665945,0.066911579,0.174092152,0.033055312,0.064078624
cg00547103,0.264855978,0.565825137,0.362190266,0.290537178,0.354561272,0.184082347
cg12198140,0.0610181,0.351605045,0.044154884,0.132985198,0.05606122,0.243625089
cg26857315,0.07027585,0.352670943,0.066395204,0.267464704,0.024839739,0.043398923
cg12270368,0.073292872,0.339050685,0.118098724,0.087542957,0.055599509,0.093783048
cg23449544,0.237373277,0.50839902,0.284720556,0.282010604,0.286076887,0.157822273
cg20092046,0.176708093,0.414333397,0.165596984,0.316880372,0.05952758,0.111076001
cg05225883,0.455316873,0.624098936,0.439483784,0.381791526,0.306160553,0.287224885
cg19783626,0.05459361,0.304386848,0.056525132,0.122442765,0.02764828,0.02994512
cg01942845,0.04590458,0.359656975,0.088054292,0.150387457,0.102635763,0.26894166
cg17186066,0.064561464,0.349691819,0.126103669,0.183252917,0.059919225,0.120878651
cg00074365,0.129599454,0.388188648,0.098772385,0.126703444,0.221344007,0.140428512
cg16959787,0.185623985,0.359080892,0.081875593,0.133687137,0.055256887,0.178101034
cg14739437,0.117457469,0.354212254,0.130881752,0.139493572,0.083998692,0.104935647
cg17725477,0.036522059,0.308536983,0.070471799,0.159664793,0.031533885,0.057191229
cg01557792,0.131000325,0.366240831,0.054472259,0.150043342,0.145728135,0.183435711
cg11597902,0.953112364,0.894810168,0.127511715,0.947821374,0.919636026,0.95928814
cg06125903,0.950287947,0.943816551,0.135510556,0.949563461,0.878287641,0.955489755
cg15310871,0.937737174,0.924263006,0.160503714,0.935212132,0.962485592,0.939123599
cg03663120,0.965153884,0.942022465,0.178469569,0.965063129,0.936026303,0.963023113
cg24788483,0.953663933,0.942546693,0.14976835,0.941627681,0.849096355,0.95359893
cg10480329,0.9153293,0.879766551,0.140455419,0.88811484,0.942719122,0.940402841
cg20610950,0.936817399,0.921440746,0.16758417,0.942570131,0.93250683,0.946582211
cg05923857,0.966203575,0.94656477,0.17161843,0.931912235,0.873707655,0.968475221
cg04756491,0.901614689,0.802976071,0.121382315,0.919906274,0.867521508,0.909306471
cg11186858,0.965081851,0.93364158,0.202843542,0.957570135,0.9365935,0.957633893
cg11231069,0.975519257,0.957122429,0.21404508,0.980065065,0.91155722,0.983424085
cg03313271,0.931111075,0.925603418,0.178904971,0.933675294,0.889070685,0.940843621
cg22666015,0.88001195,0.829018138,0.109176567,0.922760495,0.746463626,0.92870135
cg13980609,0.920697569,0.894720765,0.122941203,0.918263484,0.681290077,0.923556106
cg18835472,0.914145241,0.891559343,0.161305277,0.899853205,0.840349774,0.926358976
cg12655112,0.941430201,0.941647503,0.175802752,0.921729434,0.797485865,0.960946736
cg09977847,0.850288825,0.872339472,0.145114301,0.90896117,0.841061032,0.907537097
cg18563860,0.856366597,0.896855442,0.151726689,0.919325565,0.823451546,0.921164061
cg25344401,0.936456409,0.908571521,0.172769824,0.930868893,0.815821469,0.921808037
cg16636767,0.915674522,0.912065895,0.196719003,0.910508333,0.907836035,0.922923757
cg15235987,0.865608053,0.905414221,0.15569519,0.903527832,0.804591472,0.897096657
cg05584070,0.904903322,0.899656249,0.171156951,0.907289517,0.808468474,0.913511938
cg08428868,0.90746042,0.886635456,0.169280095,0.904166054,0.808768604,0.908395867
cg02182476,0.923324836,0.890377283,0.163230576,0.925439215,0.73662835,0.937032291
cg12422199,0.864355952,0.802855553,0.151947472,0.86768374,0.862857445,0.885740894
cg15068842,0.836512403,0.788782417,0.135180915,0.899208885,0.794050229,0.906184793
cg00091349,0.883911804,0.866157348,0.142900157,0.885768389,0.720789204,0.923031422
cg18107006,0.858938845,0.817586312,0.101852514,0.620225097,0.833605072,0.906201321
cg00828556,0.80724231,0.865485691,0.140050379,0.959057836,0.753235707,0.794016721
cg04605532,0.893934832,0.86706001,0.169909202,0.888735058,0.840304372,0.817462681
cg10207609,0.942697559,0.887170113,0.138373924,0.530831548,0.898784267,0.937470821
cg06373940,0.912416882,0.8955563,0.195557466,0.929922066,0.810831575,0.936935002
cg17356733,0.691878871,0.721015278,0.084114304,0.882798751,0.852460814,0.681070741
cg17086773,0.878572147,0.864937813,0.181783399,0.888608692,0.856803377,0.900712689
cg02041484,0.903617646,0.88902551,0.17023552,0.912477282,0.737449434,0.922075853
cg23146741,0.895591122,0.842206027,0.128435621,0.621010147,0.855193802,0.91424615
cg09322573,0.895676023,0.895823669,0.186405344,0.910926958,0.793223445,0.92626151
cg22900266,0.919032813,0.855881031,0.17955707,0.938633489,0.737723249,0.962051715
cg22675702,0.725604918,0.811666833,0.132903284,0.836045775,0.910317002,0.777251931
cg24597363,0.633117673,0.605479311,0.060837414,0.79479565,0.85140595,0.894614698
cg24637417,0.855654708,0.867664888,0.138882179,0.879723642,0.678305746,0.912595685
cg14851700,0.861440809,0.839327591,0.116977691,0.788700538,0.744410336,0.768101236
cg09140723,0.896053877,0.803421497,0.155743903,0.890465435,0.752058087,0.899248811
cg01722297,0.930057343,0.904673263,0.217646126,0.924541422,0.832110652,0.935200506
cg23666117,0.913437621,0.905550457,0.182570274,0.923738637,0.709619379,0.929653835
cg10499974,0.885632887,0.795697345,0.124703396,0.847787751,0.655976546,0.933444087
cg14134003,0.917214564,0.892628466,0.169562485,0.909047345,0.672942419,0.917963526
cg17183174,0.869005099,0.813638628,0.143724146,0.902766711,0.67841069,0.921258602
cg02889869,0.915848529,0.899659828,0.188932241,0.916557241,0.734329749,0.91947011
cg10838410,0.894351556,0.843197465,0.155010728,0.901793979,0.686093515,0.898411047
cg09994756,0.049656186,0.273372394,0.818615593,0.10476084,0.346184979,0.047900787
cg23822407,0.113153122,0.207501521,0.838245549,0.074445817,0.310472941,0.496335535
cg08426898,0.074587556,0.130237713,0.803917168,0.244820554,0.347353833,0.091226906
cg13870494,0.072190746,0.139818563,0.741568028,0.190524251,0.156335744,0.075814292
cg05576619,0.033625552,0.115960944,0.744591932,0.070676266,0.359707145,0.038979918
cg24134182,0.060022477,0.26015961,0.830470596,0.213341139,0.43767072,0.045593947
cg19884556,0.046401857,0.064344977,0.684617576,0.091230488,0.156573209,0.055778796
cg03601886,0.043391642,0.13791104,0.821294162,0.447938443,0.285328604,0.181587231
cg14140118,0.099747027,0.138214736,0.79433457,0.170631589,0.272384835,0.396064845
cg20460166,0.037104555,0.143878518,0.711299956,0.070649296,0.24744624,0.033270354
cg16934235,0.168344937,0.155382964,0.791305306,0.242693636,0.252863536,0.200473288
cg27423838,0.094225762,0.19122168,0.784367672,0.205779639,0.269404643,0.29023877
cg15911409,0.163064074,0.170129104,0.801344046,0.187640526,0.195552299,0.559703295
cg27100370,0.081141895,0.140225564,0.779134719,0.099891027,0.520582511,0.052869601
cg09832911,0.168330714,0.29731539,0.840166027,0.160367469,0.416047477,0.268837638
cg25911551,0.387759277,0.168045312,0.83043252,0.323966929,0.271362074,0.072789106
cg02126477,0.146597077,0.193865063,0.816044997,0.161280988,0.296407877,0.578960726
cg16871561,0.211753845,0.191625026,0.784378269,0.39424185,0.18018333,0.035528953
cg09371112,0.152513343,0.18594121,0.748926599,0.159446065,0.28158526,0.101688252
cg27328431,0.075821525,0.474850141,0.845694315,0.371643548,0.329232329,0.069681144
cg16002660,0.033259031,0.221199125,0.752328619,0.15549866,0.414667033,0.038403733
cg10312522,0.120524655,0.202755954,0.752587231,0.178088855,0.304761521,0.126965452
cg14057303,0.057945175,0.091709729,0.707198384,0.265005229,0.201041682,0.137220763
cg24859236,0.0559544,0.183433607,0.762450301,0.067359673,0.535492467,0.07166609
cg01258949,0.063520867,0.289906944,0.857547636,0.595887529,0.373717536,0.128742811
cg13904968,0.058448445,0.252687485,0.811741559,0.587865615,0.248655177,0.1103468
cg22594214,0.116860924,0.22397061,0.754245926,0.230175462,0.284351076,0.134460742
cg13935577,0.101295352,0.474186311,0.799469492,0.209891344,0.18961341,0.384362995
cg07059925,0.050617853,0.13545593,0.678628842,0.107307461,0.254639243,0.093624979
cg07226481,0.455577166,0.314554862,0.834335505,0.298275956,0.212151608,0.160366413
cg15913157,0.249171371,0.44051481,0.836062737,0.318301409,0.297554545,0.096765801
cg15488596,0.411309904,0.274145221,0.847690078,0.400081756,0.308253812,0.053302662
cg00246969,0.069271163,0.163560273,0.734423367,0.095477912,0.347980591,0.36592318
cg03299329,0.227271712,0.394606236,0.856531316,0.206476156,0.549075819,0.074927777
cg04462561,0.312189029,0.143127071,0.826927866,0.410473206,0.243489524,0.425899475
cg20343063,0.195402871,0.235817559,0.788737988,0.428136389,0.245492551,0.106047328
cg19653282,0.332771448,0.183489328,0.775662761,0.253248637,0.291022059,0.068057136
cg07702311,0.106502007,0.241204551,0.843528693,0.635817432,0.307246394,0.250982365
cg26929272,0.065073713,0.269287089,0.720518457,0.148271384,0.331283271,0.056185225
cg17408185,0.122513729,0.205058055,0.812932575,0.399944368,0.429022437,0.196663918
cg00344445,0.033874822,0.088555087,0.692259063,0.436564547,0.168042119,0.04396395
cg11688410,0.281600814,0.139301785,0.718050449,0.196833911,0.197564669,0.105897386
cg08404225,0.110210578,0.121453493,0.709519332,0.246961168,0.311005487,0.045787675
cg21650243,0.043460194,0.099220079,0.637308168,0.063723591,0.229665053,0.097464818
cg10593028,0.305331889,0.530592432,0.905156455,0.350749342,0.27077174,0.555455071
cg19043798,0.085215201,0.144390831,0.766723019,0.531280334,0.199371111,0.307871861
cg24202817,0.18411334,0.175232967,0.804814897,0.568472131,0.315546613,0.080040623
cg22354175,0.14853811,0.288331257,0.765979421,0.313643227,0.224878746,0.265455554
cg20282814,0.193925834,0.419919447,0.855913534,0.333669887,0.494090655,0.116173873
cg07332880,0.065599891,0.088311222,0.64032032,0.114611318,0.234295236,0.068814098
cg13501446,0.603571946,0.916231818,0.961251424,0.208836205,0.954487525,0.934076692
cg23670372,0.353933279,0.783927593,0.92342909,0.150443561,0.873253068,0.935500266
cg03452625,0.79149403,0.743630057,0.906366207,0.228485965,0.869201901,0.923031696
cg12711755,0.779706195,0.831529885,0.891793695,0.234102579,0.839867112,0.92200997
cg07297896,0.629137215,0.817990439,0.936795438,0.177114382,0.936650844,0.326504631
cg21821308,0.495732834,0.698166803,0.961170842,0.192058352,0.895200929,0.957218555
cg08368520,0.355849553,0.743918345,0.873525028,0.142597551,0.852820095,0.896556424
cg24766041,0.476843402,0.651086717,0.758642252,0.125390606,0.930422087,0.723973613
cg27177779,0.958875051,0.878158027,0.944286678,0.339405999,0.926109645,0.955690958
cg14636575,0.656701423,0.76606893,0.916441378,0.253181204,0.937579401,0.954202846
cg13589218,0.691931418,0.649703761,0.827982739,0.214261819,0.9552035,0.841255828
cg07532353,0.518127721,0.691022553,0.958132008,0.227995084,0.942614682,0.94399221
cg11841704,0.657516796,0.633446391,0.898232493,0.188150672,0.943989684,0.555510727
cg08081346,0.758813705,0.823400714,0.89211908,0.287328709,0.909250455,0.881664597
cg15938260,0.805623713,0.945361668,0.964964246,0.351040582,0.952876185,0.849804606
cg07076109,0.480203861,0.832060383,0.937846195,0.248501674,0.890120211,0.936010456
cg26209730,0.918772377,0.773823469,0.799184267,0.293601539,0.87520856,0.905706039
cg03286774,0.835157699,0.813024566,0.571906056,0.239200127,0.872573506,0.87488707
cg02643580,0.489902315,0.644902475,0.908262147,0.213161598,0.902438613,0.900915703
cg19576422,0.355670229,0.627453756,0.799310586,0.139563222,0.819483529,0.864781886
cg21496803,0.93940065,0.971091053,0.980182998,0.409135133,0.927841006,0.942186508
cg23830290,0.940189433,0.812992208,0.771954337,0.347305106,0.956768088,0.944869756
cg25946646,0.488755313,0.491886182,0.888822826,0.170284436,0.804904767,0.913995977
cg12483545,0.84995685,0.90230593,0.947928016,0.386507972,0.966930944,0.914208615
cg07784293,0.525301818,0.834180339,0.922678939,0.253942325,0.784766044,0.921571981
cg13654884,0.636275086,0.658095643,0.733246323,0.222545745,0.864521007,0.905633966
cg03396152,0.513068628,0.587756955,0.890795402,0.205176243,0.837859141,0.874025081
cg23101649,0.706098163,0.628887056,0.947710038,0.239780801,0.718790343,0.899972599
cg25463749,0.560641515,0.76065087,0.858318638,0.231013703,0.826545406,0.731620518
cg14534089,0.9192837,0.922009478,0.95679207,0.415063205,0.940641414,0.946861829
cg27065717,0.543829124,0.57491899,0.907442952,0.234080704,0.872629985,0.901596107
