Group,Celltype,ONTOLOGY,TERM,N,DE,P.DE,FDR,ID,Generatio,neg_log_P,Order
First,Endothelial,BP,regulation of molecular function,2821,719.5,8.24E-05,0.011570827,GO:0065009,0.2550514,4.084082883,20
First,Endothelial,BP,regulation of response to stimulus,4007,1023.5,2.41E-08,1.26E-05,GO:0048583,0.255428001,7.617905395,21
First,Endothelial,BP,cell surface receptor signaling pathway,2796,716.8333333,4.63E-04,0.041302596,GO:0007166,0.256378159,3.334444777,22
First,Endothelial,BP,regulation of signal transduction,3004,774,1.15E-04,0.014771529,GO:0009966,0.257656458,3.939563599,23
First,Endothelial,BP,regulation of phosphorus metabolic process,1725,447,4.38E-04,0.039842246,GO:0051174,0.259130435,3.35867849,24
First,Endothelial,BP,regulation of signaling,3411,884,1.00E-04,0.01331922,GO:0023051,0.259161536,3.999487419,25
First,Endothelial,BP,positive regulation of response to stimulus,2276,590.1666667,1.60E-06,4.38E-04,GO:0048584,0.259299941,5.79673245,26
First,Endothelial,BP,regulation of cell communication,3364,872.5,1.12E-04,0.014530918,GO:0010646,0.259363853,3.950141872,27
First,Endothelial,BP,regulation of phosphate metabolic process,1723,447,3.86E-04,0.036933824,GO:0019220,0.259431225,3.412961081,28
First,Endothelial,BP,regulation of phosphorylation,1531,397.8333333,5.54E-04,0.045608389,GO:0042325,0.259851949,3.256393565,29
First,Endothelial,CC,bounding membrane of organelle,1961,510.1666667,1.35E-04,0.016584658,GO:0098588,0.260156383,3.870084061,30
First,Endothelial,BP,regulation of localization,2718,707.5,5.96E-05,0.009200127,GO:0032879,0.260301692,4.225042655,31
First,Endothelial,BP,regulation of inflammatory response,400,104.5,5.99E-05,0.009200127,GO:0050727,0.26125,4.222906792,32
First,Endothelial,BP,positive regulation of cell communication,1763,462.1666667,3.73E-04,0.036214837,GO:0010647,0.262147854,3.428859918,33
First,Endothelial,BP,positive regulation of signaling,1770,464.1666667,3.60E-04,0.0352568,GO:0023056,0.262241055,3.444231439,34
First,Endothelial,MF,anion binding,2632,693.3333333,3.83E-04,0.036720324,GO:0043168,0.263424519,3.41730746,35
First,Endothelial,MF,carbohydrate derivative binding,2108,557,4.91E-04,0.042542774,GO:0097367,0.264231499,3.308632119,36
First,Endothelial,BP,positive regulation of signal transduction,1609,425.1666667,1.70E-04,0.020403054,GO:0009967,0.264242801,3.768513523,37
First,Endothelial,CC,cytoplasmic vesicle lumen,323,85.5,4.75E-04,0.041894112,GO:0060205,0.264705882,3.323189611,38
First,Endothelial,CC,secretory granule,802,212.5,9.86E-07,2.80E-04,GO:0030141,0.264962594,6.005997631,39
First,Endothelial,BP,regulation of response to external stimulus,813,215.8333333,2.96E-05,0.005341251,GO:0032101,0.265477655,4.528948764,40
First,Endothelial,MF,nucleotide binding,2010,534,5.81E-04,0.047035179,GO:0000166,0.265671642,3.235833186,41
First,Endothelial,BP,immune system process,2762,734,2.13E-16,2.42E-12,GO:0002376,0.265749457,15.67238808,42
First,Endothelial,BP,positive regulation of multicellular organismal process,1728,459.3333333,1.24E-04,0.015558547,GO:0051240,0.265817901,3.904921891,43
First,Endothelial,BP,positive regulation of immune response,754,200.5,6.62E-05,0.009910841,GO:0050778,0.265915119,4.179008196,44
First,Endothelial,MF,nucleoside phosphate binding,2011,535,5.04E-04,0.042767924,GO:1901265,0.266036798,3.297709346,45
First,Endothelial,CC,secretory vesicle,950,252.8333333,4.55E-06,0.00116321,GO:0099503,0.266140351,5.341914166,46
First,Endothelial,CC,vesicle lumen,324,86.5,3.75E-04,0.036318844,GO:0031983,0.266975309,3.425762435,47
First,Endothelial,CC,cytoplasmic vesicle part,1428,381.3333333,1.07E-05,0.002336518,GO:0044433,0.267040149,4.971359924,48
First,Endothelial,BP,inflammatory response,748,200,6.92E-09,5.25E-06,GO:0006954,0.267379679,8.159613174,49
First,Endothelial,BP,regulation of immune system process,1472,394,7.37E-10,9.24E-07,GO:0002682,0.267663043,9.132519325,50
First,Endothelial,BP,intracellular signal transduction,2794,750,2.43E-08,1.26E-05,GO:0035556,0.268432355,7.614839948,51
First,Endothelial,BP,regulation of catalytic activity,2206,592.6666667,7.34E-07,2.14E-04,GO:0050790,0.268661227,6.134466243,52
First,Endothelial,BP,hematopoietic or lymphoid organ development,893,241.3333333,4.96E-04,0.042722123,GO:0048534,0.270250093,3.304705554,53
First,Endothelial,BP,positive regulation of immune system process,1020,276,1.26E-07,5.01E-05,GO:0002684,0.270588235,6.901068578,54
First,Endothelial,BP,hemopoiesis,851,230.3333333,5.04E-04,0.042767924,GO:0030097,0.270661966,3.29774003,55
First,Endothelial,MF,purine nucleotide binding,1790,484.5,6.02E-04,0.04810202,GO:0017076,0.270670391,3.220601516,56
First,Endothelial,BP,movement of cell or subcellular component,2050,555.1666667,2.04E-04,0.022826893,GO:0006928,0.270813008,3.691019476,57
First,Endothelial,CC,intracellular vesicle,2201,596.1666667,2.41E-09,2.11E-06,GO:0097708,0.27086173,8.617681217,58
First,Endothelial,MF,purine ribonucleotide binding,1778,482,5.78E-04,0.046942203,GO:0032555,0.271091114,3.238240814,59
First,Endothelial,CC,cytoplasmic vesicle,2198,596.1666667,2.04E-09,1.93E-06,GO:0031410,0.271231423,8.690666571,60
First,Endothelial,CC,whole membrane,1581,429,5.18E-05,0.008234002,GO:0098805,0.271347249,4.286015282,61
First,Endothelial,MF,ribonucleotide binding,1794,487,4.67E-04,0.041534407,GO:0032553,0.271460424,3.330314334,62
First,Endothelial,BP,immune system development,944,256.3333333,1.72E-04,0.020435162,GO:0002520,0.271539548,3.765466184,63
First,Endothelial,BP,immune response,1897,515.1666667,2.20E-17,5.01E-13,GO:0006955,0.271569144,16.65755307,64
First,Endothelial,BP,regulation of intracellular signal transduction,1856,504.8333333,2.12E-07,7.73E-05,GO:1902531,0.272000718,6.673374666,65
First,Endothelial,BP,positive regulation of intracellular signal transduction,1031,280.8333333,3.10E-05,0.005485573,GO:1902533,0.272389266,4.509213256,66
First,Endothelial,BP,secretion,1585,433,9.36E-09,6.45E-06,GO:0046903,0.27318612,8.028876009,67
First,Endothelial,BP,response to molecule of bacterial origin,331,90.5,3.24E-04,0.032373875,GO:0002237,0.273413897,3.489425915,68
First,Endothelial,BP,response to lipopolysaccharide,320,87.5,4.63E-04,0.041302596,GO:0032496,0.2734375,3.334749833,69
First,Endothelial,BP,regulation of immune response,957,262.1666667,1.73E-08,9.62E-06,GO:0050776,0.27394636,7.760967941,70
First,Endothelial,BP,negative regulation of cytokine production,278,76.33333333,4.83E-04,0.04225734,GO:0001818,0.274580336,3.316086805,71
First,Endothelial,CC,Golgi apparatus,1456,400,2.79E-04,0.029107614,GO:0005794,0.274725275,3.555144161,72
First,Endothelial,CC,secretory granule lumen,306,84.5,1.98E-04,0.022316084,GO:0034774,0.276143791,3.702992957,73
First,Endothelial,BP,positive regulation of response to external stimulus,309,85.5,2.39E-04,0.026130845,GO:0032103,0.276699029,3.62239754,74
First,Endothelial,BP,regulation of cellular component organization,2393,662.6666667,7.27E-06,0.001670702,GO:0051128,0.276918791,5.13842809,75
First,Endothelial,BP,activation of immune response,584,163,8.20E-05,0.011570827,GO:0002253,0.279109589,4.08605828,76
First,Endothelial,BP,angiogenesis,563,157.5,5.77E-04,0.046942203,GO:0001525,0.279751332,3.238458797,77
First,Endothelial,BP,peptide secretion,597,167.5,1.26E-04,0.015643273,GO:0002790,0.280569514,3.900183599,78
First,Endothelial,BP,secretion by cell,1454,408.5,8.89E-10,9.63E-07,GO:0032940,0.280949106,9.0512821,79
First,Endothelial,BP,regulation of immune effector process,379,106.5,3.45E-05,0.005819558,GO:0002697,0.281002639,4.46173856,80
First,Endothelial,BP,vesicle-mediated transport,1909,536.5909091,2.22E-09,2.02E-06,GO:0016192,0.281084814,8.65275627,81
First,Endothelial,BP,positive regulation of cytokine production,443,125,9.13E-06,0.002036769,GO:0001819,0.282167043,5.039420406,82
First,Endothelial,BP,locomotion,1822,514.1666667,2.52E-07,8.81E-05,GO:0040011,0.282199049,6.598960609,83
First,Endothelial,BP,exocytosis,857,242.5,3.52E-06,9.30E-04,GO:0006887,0.282963827,5.453941447,84
First,Endothelial,BP,regulation of hydrolase activity,1219,345.1666667,4.67E-06,0.001179707,GO:0051336,0.283155592,5.330945547,85
First,Endothelial,BP,regulation of peptide secretion,480,136,2.79E-04,0.029107614,GO:0002791,0.283333333,3.554499208,86
First,Endothelial,BP,positive regulation of cellular component organization,1205,342.6666667,3.17E-04,0.032179286,GO:0051130,0.284370678,3.499137888,87
First,Endothelial,BP,adaptive immune response,392,111.5,1.17E-05,0.002479863,GO:0002250,0.284438776,4.933150928,88
First,Endothelial,BP,immune effector process,1113,317.5,8.42E-13,2.74E-09,GO:0002252,0.285265049,12.07472465,89
First,Endothelial,BP,protein secretion,566,161.5,5.43E-05,0.008571587,GO:0009306,0.285335689,4.265538597,90
First,Endothelial,BP,regulation of anatomical structure morphogenesis,1100,314.8333333,2.88E-04,0.029802371,GO:0022603,0.286212121,3.540288812,91
First,Endothelial,BP,regulation of protein secretion,454,130,2.14E-04,0.023910144,GO:0050708,0.286343612,3.668749946,92
First,Endothelial,BP,leukocyte mediated immunity,739,212,2.82E-10,4.75E-07,GO:0002443,0.286874154,9.549707297,93
First,Endothelial,MF,enzyme binding,2112,607.5,2.44E-08,1.26E-05,GO:0019899,0.287642045,7.612708059,94
First,Endothelial,BP,regulated exocytosis,755,217.5,4.21E-07,1.35E-04,GO:0045055,0.28807947,6.375976742,95
First,Endothelial,BP,regulation of cytokine production,683,196.8333333,1.20E-08,7.39E-06,GO:0001817,0.288189361,7.920342144,96
First,Endothelial,BP,cell motility,1600,461.6666667,1.05E-08,6.83E-06,GO:0048870,0.288541667,7.978285073,97
First,Endothelial,BP,localization of cell,1600,461.6666667,1.05E-08,6.83E-06,GO:0051674,0.288541667,7.978285073,98
First,Endothelial,BP,regulation of kinase activity,835,241.5,3.11E-04,0.031854788,GO:0043549,0.289221557,3.507434616,99
First,Endothelial,BP,regulation of lymphocyte activation,399,115.5,1.08E-04,0.014316219,GO:0051249,0.289473684,3.965605532,100
First,Endothelial,BP,positive regulation of molecular function,1671,484.6666667,3.69E-08,1.82E-05,GO:0044093,0.290045881,7.433346823,101
First,Endothelial,MF,adenyl nucleotide binding,1468,426,7.46E-05,0.010816332,GO:0030554,0.290190736,4.126982637,102
First,Endothelial,MF,adenyl ribonucleotide binding,1457,423.5,9.30E-05,0.012587306,GO:0032559,0.290665752,4.031720249,103
First,Endothelial,MF,ATP binding,1402,408.5,1.18E-04,0.014906033,GO:0005524,0.291369472,3.929896287,104
First,Endothelial,BP,cellular response to biotic stimulus,229,67,1.38E-04,0.016739702,GO:0071216,0.292576419,3.861372985,105
First,Endothelial,CC,endosome,849,248.5,5.91E-05,0.009200127,GO:0005768,0.292697291,4.228660321,106
First,Endothelial,BP,response to wounding,651,191,3.48E-04,0.034303054,GO:0009611,0.293394777,3.458017549,107
First,Endothelial,BP,positive regulation of protein secretion,259,76,4.06E-04,0.038022831,GO:0050714,0.293436293,3.391311588,108
First,Endothelial,BP,regulation of cellular component movement,1035,303.8333333,1.10E-05,0.002352411,GO:0051270,0.293558776,4.960143308,109
First,Endothelial,BP,cell activation,1310,385.5,5.83E-14,3.31E-10,GO:0001775,0.294274809,13.23449963,110
First,Endothelial,BP,positive regulation of catalytic activity,1343,396,1.48E-07,5.71E-05,GO:0043085,0.294862249,6.829624909,111
First,Endothelial,BP,tumor necrosis factor production,158,46.83333333,6.17E-04,0.048592768,GO:0032640,0.296413502,3.209492832,112
First,Endothelial,BP,immune response-regulating signaling pathway,540,160.5,2.03E-05,0.003921236,GO:0002764,0.297222222,4.691929131,113
First,Endothelial,BP,regulation of locomotion,1023,304.3333333,2.96E-07,1.00E-04,GO:0040012,0.297491039,6.529040945,114
First,Endothelial,BP,wound healing,540,161,4.13E-04,0.038499852,GO:0042060,0.298148148,3.383579905,115
First,Endothelial,BP,regulation of cell activation,524,156.5,6.64E-07,1.99E-04,GO:0050865,0.298664122,6.177941685,116
First,Endothelial,BP,cytokine production,751,224.3333333,6.38E-11,1.61E-07,GO:0001816,0.298712827,10.19506488,117
First,Endothelial,CC,secretory granule membrane,286,85.5,4.82E-04,0.04225734,GO:0030667,0.298951049,3.317015781,118
First,Endothelial,BP,lymphocyte activation,632,189,6.39E-08,3.03E-05,GO:0046649,0.299050633,7.19467055,119
First,Endothelial,BP,cell adhesion,1357,405.8333333,3.10E-07,1.02E-04,GO:0007155,0.299066568,6.509284492,120
First,Endothelial,BP,myeloid leukocyte migration,197,59,7.34E-05,0.010777075,GO:0097529,0.299492386,4.134093154,121
First,Endothelial,BP,biological adhesion,1363,408.8333333,1.91E-07,7.12E-05,GO:0022610,0.299951088,6.71939614,122
First,Endothelial,BP,leukocyte activation,1161,348.5,4.48E-15,3.39E-11,GO:0045321,0.300172265,14.34916794,123
First,Endothelial,BP,immune response-activating signal transduction,508,152.5,1.75E-05,0.00345474,GO:0002757,0.30019685,4.757849159,124
First,Endothelial,BP,cell migration,1450,435.6666667,2.92E-10,4.75E-07,GO:0016477,0.30045977,9.534052757,125
First,Endothelial,BP,regulation of tumor necrosis factor production,155,46.83333333,4.27E-04,0.038976334,GO:0032680,0.302150538,3.369961971,126
First,Endothelial,BP,lymphocyte differentiation,337,101.8333333,3.33E-04,0.032901856,GO:0030098,0.302176063,3.47801408,127
First,Endothelial,BP,leukocyte differentiation,492,148.8333333,1.70E-05,0.003399311,GO:0002521,0.302506775,4.768666587,128
First,Endothelial,BP,regulation of tumor necrosis factor superfamily cytokine production,158,47.83333333,3.78E-04,0.036468045,GO:1903555,0.302742616,3.42213782,129
First,Endothelial,BP,regulation of cell motility,952,288.8333333,1.16E-07,4.92E-05,GO:2000145,0.303396359,6.936952046,130
First,Endothelial,BP,cellular response to lipopolysaccharide,201,61,6.51E-05,0.009809678,GO:0071222,0.303482587,4.186330619,131
First,Endothelial,BP,regulation of leukocyte activation,482,146.5,2.60E-07,8.97E-05,GO:0002694,0.303941909,6.584808663,132
First,Endothelial,BP,regulation of T cell activation,301,91.5,1.80E-04,0.020963843,GO:0050863,0.303986711,3.745456797,133
First,Endothelial,BP,taxis,616,187.3333333,5.55E-04,0.045608389,GO:0042330,0.304112554,3.25543781,134
First,Endothelial,BP,cellular response to molecule of bacterial origin,207,63,3.58E-05,0.005949531,GO:0071219,0.304347826,4.445759006,135
First,Endothelial,BP,import into cell,813,248,2.19E-05,0.004178722,GO:0098657,0.30504305,4.660371861,136
First,Endothelial,BP,chemotaxis,614,187.3333333,5.01E-04,0.042767924,GO:0006935,0.305103149,3.300321954,137
First,Endothelial,BP,cell chemotaxis,284,86.83333333,1.70E-05,0.003399311,GO:0060326,0.305751174,4.769501393,138
First,Endothelial,MF,kinase binding,705,216,2.90E-04,0.029807167,GO:0019900,0.306382979,3.538249331,139
First,Endothelial,CC,side of membrane,487,149.5,2.29E-05,0.004307659,GO:0098552,0.30698152,4.639935616,140
First,Endothelial,BP,myeloid leukocyte mediated immunity,529,162.5,1.75E-09,1.81E-06,GO:0002444,0.307183365,8.756150293,141
First,Endothelial,BP,cytoskeleton organization,1264,389.3333333,1.25E-07,5.01E-05,GO:0007010,0.308016878,6.902563703,142
First,Endothelial,BP,neutrophil mediated immunity,480,148.5,3.80E-09,2.98E-06,GO:0002446,0.309375,8.420203202,143
First,Endothelial,BP,positive regulation of lymphocyte activation,253,78.5,4.15E-04,0.038499852,GO:0051251,0.31027668,3.382337161,144
First,Endothelial,MF,protein kinase binding,630,195.5,3.26E-04,0.032400713,GO:0019901,0.31031746,3.486572267,145
First,Endothelial,BP,positive regulation of immune effector process,206,64,1.18E-04,0.014906033,GO:0002699,0.310679612,3.928327715,146
First,Endothelial,BP,positive regulation of hydrolase activity,723,225,5.61E-06,0.001372952,GO:0051345,0.31120332,5.250824085,147
First,Endothelial,BP,T cell activation,443,138,7.71E-07,2.22E-04,GO:0042110,0.311512415,6.113187682,148
First,Endothelial,BP,positive regulation of vasculature development,223,69.5,1.23E-04,0.015443449,GO:1904018,0.311659193,3.910539433,149
First,Endothelial,BP,leukocyte activation involved in immune response,675,211,4.95E-13,1.88E-09,GO:0002366,0.312592593,12.30553794,150
First,Endothelial,BP,regulation of cell migration,895,279.8333333,1.45E-08,8.45E-06,GO:0030334,0.312662942,7.839239304,151
First,Endothelial,BP,leukocyte degranulation,512,160.5,7.72E-10,9.24E-07,GO:0043299,0.313476563,9.112637111,152
First,Endothelial,BP,neutrophil degranulation,466,146.5,2.01E-09,1.93E-06,GO:0043312,0.314377682,8.6967403,153
First,Endothelial,BP,immune response-regulating cell surface receptor signaling pathway,380,119.5,6.71E-05,0.009978015,GO:0002768,0.314473684,4.173226741,154
First,Endothelial,BP,myeloid cell activation involved in immune response,523,164.5,2.36E-10,4.47E-07,GO:0002275,0.314531549,9.627014434,155
First,Endothelial,BP,endocytosis,693,218,2.25E-06,6.03E-04,GO:0006897,0.314574315,5.646937034,156
First,Endothelial,BP,granulocyte activation,484,152.5,5.72E-10,8.13E-07,GO:0036230,0.315082645,9.242653741,157
First,Endothelial,BP,cell activation involved in immune response,679,214,2.00E-13,9.10E-10,GO:0002263,0.315169367,12.69871665,158
First,Endothelial,BP,granulocyte migration,130,41,3.43E-05,0.005819558,GO:0097530,0.315384615,4.465222247,159
First,Endothelial,BP,myeloid leukocyte activation,625,197.5,5.05E-12,1.44E-08,GO:0002274,0.316,11.29640572,160
First,Endothelial,BP,regulation of leukocyte differentiation,261,82.5,2.55E-04,0.027507633,GO:1902105,0.316091954,3.593226642,161
First,Endothelial,BP,lymphocyte activation involved in immune response,169,53.5,1.76E-04,0.020607132,GO:0002285,0.316568047,3.755143038,162
First,Endothelial,BP,immune response-activating cell surface receptor signaling pathway,349,110.5,8.83E-05,0.012282261,GO:0002429,0.316618911,4.054032108,163
First,Endothelial,BP,neutrophil activation involved in immune response,469,148.5,8.16E-10,9.28E-07,GO:0002283,0.31663113,9.088550935,164
First,Endothelial,MF,cytoskeletal protein binding,934,295.8333333,1.55E-04,0.01877944,GO:0008092,0.316738044,3.809121823,165
First,Endothelial,BP,regulation of interleukin-6 production,142,45,3.58E-05,0.005949531,GO:0032675,0.316901408,4.446012752,166
First,Endothelial,BP,neutrophil activation,478,151.5,5.52E-10,8.13E-07,GO:0042119,0.316945607,9.258037211,167
First,Endothelial,BP,mononuclear cell migration,85,27,4.70E-04,0.041594327,GO:0071674,0.317647059,3.327995086,168
First,Endothelial,BP,positive regulation of cell activation,310,98.5,7.65E-06,0.001739602,GO:0050867,0.317741935,5.116512379,169
First,Endothelial,BP,interleukin-6 production,151,48,2.03E-05,0.003921236,GO:0032635,0.317880795,4.691657272,170
First,Endothelial,BP,positive regulation of leukocyte activation,297,94.5,1.25E-05,0.002639468,GO:0002696,0.318181818,4.902022184,171
First,Endothelial,BP,supramolecular fiber organization,639,204.6666667,4.70E-05,0.007684527,GO:0097435,0.320292123,4.32833039,172
First,Endothelial,MF,kinase activity,721,231.5,1.75E-04,0.020607132,GO:0016301,0.321081831,3.756960687,173
First,Endothelial,BP,positive regulation of locomotion,572,184,7.67E-08,3.42E-05,GO:0040017,0.321678322,7.115360283,174
First,Endothelial,BP,positive regulation of angiogenesis,198,64,6.24E-05,0.009531845,GO:0045766,0.323232323,4.204599052,175
First,Endothelial,BP,cytokine secretion,228,74,1.59E-07,6.04E-05,GO:0050663,0.324561404,6.797832746,176
First,Endothelial,BP,leukocyte chemotaxis,212,68.83333333,1.32E-06,3.65E-04,GO:0030595,0.324685535,5.88035028,177
First,Endothelial,BP,maintenance of location,316,102.6666667,2.86E-04,0.029747306,GO:0051235,0.324894515,3.543070559,178
First,Endothelial,BP,positive regulation of leukocyte mediated immunity,126,41,5.99E-04,0.04810202,GO:0002705,0.325396825,3.222452893,179
First,Endothelial,BP,regulation of leukocyte cell-cell adhesion,287,93.5,5.34E-06,0.001320458,GO:1903037,0.325783972,5.272449796,180
First,Endothelial,CC,tertiary granule,158,51.5,4.94E-05,0.007966635,GO:0070820,0.325949367,4.306468304,181
First,Endothelial,BP,positive regulation of T cell activation,193,63,4.21E-04,0.038785572,GO:0050870,0.32642487,3.375595158,182
First,Endothelial,BP,positive regulation of cellular component movement,559,182.5,6.54E-08,3.04E-05,GO:0051272,0.32647585,7.184583611,183
First,Endothelial,BP,regulation of calcium ion transport,244,79.66666667,3.23E-04,0.032373875,GO:0051924,0.326502732,3.490679857,184
First,Endothelial,CC,cytoplasmic region,490,160,5.40E-04,0.045028746,GO:0099568,0.326530612,3.26730981,185
First,Endothelial,BP,cytokine biosynthetic process,116,38,2.66E-04,0.028372404,GO:0042089,0.327586207,3.575686577,186
First,Endothelial,BP,regulation of cytokine secretion,198,65,5.19E-07,1.64E-04,GO:0050707,0.328282828,6.284676381,187
First,Endothelial,BP,leukocyte migration,419,137.8333333,6.66E-10,8.91E-07,GO:0050900,0.328957836,9.176635705,188
First,Endothelial,MF,"phosphotransferase activity, alcohol group as acceptor",662,218,9.27E-05,0.012587306,GO:0016773,0.329305136,4.032830236,189
First,Endothelial,BP,negative regulation of cell adhesion,273,90.5,1.72E-04,0.020435162,GO:0007162,0.331501832,3.763283005,190
First,Endothelial,BP,regulation of actin filament-based process,371,123,5.20E-04,0.043847923,GO:0032970,0.331536388,3.283649519,191
First,Endothelial,BP,positive regulation of cell motility,542,180.5,1.10E-08,6.94E-06,GO:2000147,0.33302583,7.959531194,192
First,Endothelial,BP,cytokine metabolic process,117,39,1.36E-04,0.016587347,GO:0042107,0.333333333,3.867672442,193
First,Endothelial,BP,regulation of cell-cell adhesion,385,128.5,6.04E-07,1.87E-04,GO:0022407,0.333766234,6.218956126,194
First,Endothelial,CC,anchoring junction,541,181,5.60E-04,0.045856342,GO:0070161,0.334565619,3.251518105,195
First,Endothelial,BP,neutrophil migration,107,36,1.69E-05,0.003399311,GO:1990266,0.336448598,4.770942223,196
First,Endothelial,MF,protein kinase activity,564,190,9.65E-05,0.012994463,GO:0004672,0.336879433,4.015317259,197
First,Endothelial,BP,granulocyte chemotaxis,115,39,7.27E-06,0.001670702,GO:0071621,0.339130435,5.138635552,198
First,Endothelial,BP,positive regulation of leukocyte cell-cell adhesion,207,70.5,7.39E-05,0.010777075,GO:1903039,0.34057971,4.131336809,199
First,Endothelial,BP,positive regulation of cell migration,520,177.5,3.17E-09,2.67E-06,GO:0030335,0.341346154,8.499146858,200
First,Endothelial,CC,cell-substrate adherens junction,394,134.5,0.000485818,0.04234434,GO:0005924,0.341370558,3.31352644,201
First,Endothelial,MF,protein serine/threonine kinase activity,415,142,3.16E-04,0.032179286,GO:0004674,0.342168675,3.500700928,202
First,Endothelial,CC,focal adhesion,392,134.5,4.25E-04,0.038976334,GO:0005925,0.343112245,3.371597033,203
First,Endothelial,BP,positive regulation of cytokine secretion,132,45.5,4.73E-06,0.001183384,GO:0050715,0.34469697,5.324795155,204
First,Endothelial,BP,leukocyte cell-cell adhesion,319,110,8.96E-09,6.37E-06,GO:0007159,0.344827586,8.04791661,205
First,Endothelial,BP,lymphocyte migration,100,34.5,5.46E-05,0.008571926,GO:0072676,0.345,4.262515876,206
First,Endothelial,BP,regulation of actin cytoskeleton organization,327,113,1.12E-04,0.014530918,GO:0032956,0.345565749,3.949156584,207
First,Endothelial,BP,small GTPase mediated signal transduction,532,184.3333333,3.14E-05,0.005485573,GO:0007264,0.346491228,4.502584055,208
First,Endothelial,CC,actin cytoskeleton,492,170.5,3.19E-05,0.005505331,GO:0015629,0.346544715,4.495604907,209
First,Endothelial,CC,extrinsic component of membrane,281,97.66666667,3.68E-04,0.035909001,GO:0019898,0.347568209,3.434403061,210
First,Endothelial,MF,nucleoside-triphosphatase regulator activity,312,109,5.36E-04,0.044812591,GO:0060589,0.349358974,3.270993354,211
First,Endothelial,MF,GTPase binding,498,174,5.09E-05,0.008150201,GO:0051020,0.34939759,4.293505626,212
First,Endothelial,BP,positive regulation of cell-cell adhesion,244,85.5,9.94E-06,0.002194918,GO:0022409,0.350409836,5.002706835,213
First,Endothelial,BP,macrophage activation,91,32,6.16E-04,0.048592768,GO:0042116,0.351648352,3.210654312,214
First,Endothelial,BP,regulation of cell adhesion,659,231.8333333,1.85E-10,3.83E-07,GO:0030155,0.35179565,9.7318745,215
First,Endothelial,BP,regulation of interleukin-1 production,98,34.5,6.54E-06,0.001533327,GO:0032652,0.352040816,5.184555697,216
First,Endothelial,MF,small GTPase binding,404,142.5,5.29E-04,0.044370674,GO:0031267,0.352722772,3.276896991,217
First,Endothelial,BP,calcium-mediated signaling,210,74.16666667,3.12E-05,0.005485573,GO:0019722,0.353174603,4.506520245,218
First,Endothelial,BP,neutrophil chemotaxis,96,34,6.09E-06,0.001442681,GO:0030593,0.354166667,5.215520786,219
First,Endothelial,BP,interleukin-1 production,110,39,6.50E-07,1.97E-04,GO:0032612,0.354545455,6.186895899,220
First,Endothelial,BP,actin filament-based process,725,260.5,3.35E-09,2.72E-06,GO:0030029,0.359310345,8.475014171,221
First,Endothelial,MF,Ras GTPase binding,390,140.5,1.95E-04,0.022123885,GO:0017016,0.36025641,3.711070932,222
First,Endothelial,CC,specific granule,155,56,8.83E-06,0.001989671,GO:0042581,0.361290323,5.053859719,223
First,Endothelial,BP,regulation of cell morphogenesis,459,166.8333333,6.45E-05,0.009785484,GO:0022604,0.363471314,4.190288737,224
